metric,value
macro_precision,0.997983870967742
macro_recall,0.9979166666666667
macro_f1,0.9979160878021673
micro_precision,0.9979166666666667
micro_recall,0.9979166666666667
micro_f1,0.9979166666666667
overall_accuracy,0.9979166666666667
test_loss,0.008043177815504418
